Gene stable ID	Gene stable ID version	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene name
ENSMUSG00000020601	ENSMUSG00000020601.8	12	15791727	15816922	Trib2
ENSMUSG00000082670	ENSMUSG00000082670.1	2	122207920	122208265	Gm14050
ENSMUSG00000048490	ENSMUSG00000048490.14	16	76287400	76373827	Nrip1
ENSMUSG00000079966	ENSMUSG00000079966.2	2	122214620	122215354	Gm14058
ENSMUSG00000000600	ENSMUSG00000000600.15	5	3803184	3845564	Krit1
ENSMUSG00000020432	ENSMUSG00000020432.12	11	3917192	3932159	Tcn2
ENSMUSG00000044086	ENSMUSG00000044086.8	6	97238534	97252759	Lmod3
ENSMUSG00000083923	ENSMUSG00000083923.1	X	89281118	89282171	Gm649
ENSMUSG00000118508	ENSMUSG00000118508.1	X	89336619	89337233	AL732291.1
ENSMUSG00000083597	ENSMUSG00000083597.1	X	89397111	89397450	Gm14805
ENSMUSG00000026773	ENSMUSG00000026773.19	2	11471433	11554077	Pfkfb3
ENSMUSG00000072889	ENSMUSG00000072889.9	5	72513301	72559684	Nfxl1
ENSMUSG00000035395	ENSMUSG00000035395.11	X	89403848	89409689	Pet2
ENSMUSG00000086674	ENSMUSG00000086674.1	11	62761236	62765554	Zfp286os
ENSMUSG00000068349	ENSMUSG00000068349.12	15	74813452	74818815	Gml
ENSMUSG00000084020	ENSMUSG00000084020.3	11	62750064	62751280	Wsb2-ps
ENSMUSG00000037451	ENSMUSG00000037451.8	19	5970234	5986143	Slc22a20
ENSMUSG00000021595	ENSMUSG00000021595.18	13	69533746	69635780	Nsun2
ENSMUSG00000090293	ENSMUSG00000090293.1	6	82764282	82767288	Gm17034
ENSMUSG00000000628	ENSMUSG00000000628.10	6	82725025	82774454	Hk2
ENSMUSG00000026201	ENSMUSG00000026201.12	1	75210838	75215606	Stk16
ENSMUSG00000086417	ENSMUSG00000086417.1	4	116824903	116830603	Gm12996
ENSMUSG00000103191	ENSMUSG00000103191.1	3	51423613	51423723	Gm37646
ENSMUSG00000029253	ENSMUSG00000029253.12	5	86012024	86065583	Cenpc1
ENSMUSG00000025220	ENSMUSG00000025220.8	19	45750259	45783837	Oga
ENSMUSG00000021028	ENSMUSG00000021028.8	12	56328303	56345894	Mbip
ENSMUSG00000118090	ENSMUSG00000118090.1	19	21208477	21211973	Gm50236
ENSMUSG00000118086	ENSMUSG00000118086.1	19	21121152	21248451	AC106834.1
ENSMUSG00000070570	ENSMUSG00000070570.5	7	45163949	45176142	Slc17a7
ENSMUSG00000095497	ENSMUSG00000095497.2	6	68016718	68017488	Igkv1-122
ENSMUSG00000092485	ENSMUSG00000092485.1	17	36657056	36657626	Rpl9-ps5
ENSMUSG00000049421	ENSMUSG00000049421.13	7	30094777	30107622	Zfp260
ENSMUSG00000073130	ENSMUSG00000073130.10	X	71920947	71940870	Gm1141
ENSMUSG00000037334	ENSMUSG00000037334.2	17	36670008	36672219	H2-M1
ENSMUSG00000061602	ENSMUSG00000061602.3	7	12150257	12159959	Vmn1r78
ENSMUSG00000105338	ENSMUSG00000105338.1	3	142547882	142548518	Gm43802
ENSMUSG00000096878	ENSMUSG00000096878.2	5	15577333	15582078	Gm21083
ENSMUSG00000110203	ENSMUSG00000110203.1	7	12157091	12157346	Gm45365
ENSMUSG00000054757	ENSMUSG00000054757.14	13	4486849	4523345	Akr1c20
ENSMUSG00000106445	ENSMUSG00000106445.1	5	15524456	15529222	Gm21190
ENSMUSG00000101861	ENSMUSG00000101861.1	Y	68353849	68357085	Gm29450
ENSMUSG00000048277	ENSMUSG00000048277.15	11	117809668	117814283	Syngr2
ENSMUSG00000092298	ENSMUSG00000092298.1	17	36701629	36703209	Gm8877
ENSMUSG00000105300	ENSMUSG00000105300.1	5	15538002	15605066	Gm30613
ENSMUSG00000101598	ENSMUSG00000101598.1	Y	68388969	68392312	Gm29449
ENSMUSG00000070933	ENSMUSG00000070933.10	5	15619064	15623864	Speer4d
ENSMUSG00000113222	ENSMUSG00000113222.1	12	15865144	15865697	Gm48557
ENSMUSG00000113629	ENSMUSG00000113629.1	12	15842758	15850625	Gm48558
ENSMUSG00000097580	ENSMUSG00000097580.1	12	15817003	15888155	Gm5432
ENSMUSG00000039191	ENSMUSG00000039191.12	5	53466152	53657362	Rbpj
ENSMUSG00000081628	ENSMUSG00000081628.1	X	89418768	89419275	Gm14804
ENSMUSG00000100216	ENSMUSG00000100216.1	Y	68398364	68399059	Gm21867
ENSMUSG00000082422	ENSMUSG00000082422.1	X	89440175	89440895	Gm6973
ENSMUSG00000003435	ENSMUSG00000003435.9	7	28314891	28338746	Supt5
ENSMUSG00000096735	ENSMUSG00000096735.3	7	12171279	12181533	Vmn1r79
ENSMUSG00000069720	ENSMUSG00000069720.4	5	15652286	15657059	4930572O03Rik
ENSMUSG00000099641	ENSMUSG00000099641.1	Y	68435293	68435907	Gm29448
ENSMUSG00000106691	ENSMUSG00000106691.1	5	134519325	134520789	2700029L08Rik
ENSMUSG00000117337	ENSMUSG00000117337.1	17	12319015	12320728	Gm49964
ENSMUSG00000100271	ENSMUSG00000100271.1	Y	68464868	68465560	Gm21127
ENSMUSG00000097350	ENSMUSG00000097350.2	17	12318853	12327250	4732491K20Rik
ENSMUSG00000110082	ENSMUSG00000110082.1	7	12182468	12183245	Gm19201
ENSMUSG00000118242	ENSMUSG00000118242.1	19	38287951	38288224	Gm50141
ENSMUSG00000063146	ENSMUSG00000063146.11	5	134489383	134552434	Clip2
ENSMUSG00000113739	ENSMUSG00000113739.1	12	15976264	15980488	Gm48584
ENSMUSG00000105709	ENSMUSG00000105709.1	19	38300083	38315270	Gm42723
ENSMUSG00000094230	ENSMUSG00000094230.5	5	15516489	15656679	Gm21847
ENSMUSG00000117197	ENSMUSG00000117197.1	17	12356482	12357608	Gm6618
ENSMUSG00000113930	ENSMUSG00000113930.1	12	15980647	16015545	Gm36235
ENSMUSG00000104137	ENSMUSG00000104137.1	11	9705261	9705623	Gm36954
ENSMUSG00000083098	ENSMUSG00000083098.1	X	42888730	42889120	Gm14578
ENSMUSG00000081300	ENSMUSG00000081300.1	X	43412086	43412743	Gm14587
ENSMUSG00000025503	ENSMUSG00000025503.5	7	141392199	141402968	Taldo1
ENSMUSG00000048756	ENSMUSG00000048756.11	10	42181841	42276755	Foxo3
ENSMUSG00000026443	ENSMUSG00000026443.3	1	132880273	132940005	Lrrn2
ENSMUSG00000005696	ENSMUSG00000005696.11	X	42502453	42529330	Sh2d1a
ENSMUSG00000109640	ENSMUSG00000109640.1	8	26062515	26066052	Gm45413
ENSMUSG00000085437	ENSMUSG00000085437.8	8	26082609	26096522	1700047A11Rik
ENSMUSG00000067242	ENSMUSG00000067242.11	19	38264536	38312214	Lgi1
ENSMUSG00000115744	ENSMUSG00000115744.1	7	12189286	12203313	Vmn1r80
ENSMUSG00000098068	ENSMUSG00000098068.1	10	31574400	31575013	Gm7909
ENSMUSG00000063760	ENSMUSG00000063760.9	10	31493193	31609184	Rnf217
ENSMUSG00000112424	ENSMUSG00000112424.1	10	58757270	58759567	Gm6494
ENSMUSG00000092351	ENSMUSG00000092351.1	7	12201702	12202356	Vmn1r-ps64
ENSMUSG00000102709	ENSMUSG00000102709.1	1	132943512	132945320	Gm38308
ENSMUSG00000110183	ENSMUSG00000110183.1	8	26023410	26032253	Gm45411
ENSMUSG00000095634	ENSMUSG00000095634.2	Y	68537955	68540290	Gm20816
ENSMUSG00000037234	ENSMUSG00000037234.17	8	26021421	26119224	Hook3
ENSMUSG00000034471	ENSMUSG00000034471.12	11	115799183	115813639	Caskin2
ENSMUSG00000048655	ENSMUSG00000048655.17	3	55137339	55172935	Ccdc169
ENSMUSG00000040797	ENSMUSG00000040797.16	6	121372933	121473678	Iqsec3
ENSMUSG00000087367	ENSMUSG00000087367.1	19	45749508	45752310	Gm15491
ENSMUSG00000113142	ENSMUSG00000113142.1	12	16155101	16155623	Gm18114
ENSMUSG00000101393	ENSMUSG00000101393.1	Y	68667605	68670844	Gm29447
ENSMUSG00000056209	ENSMUSG00000056209.7	19	45747734	45749591	Npm3
ENSMUSG00000024601	ENSMUSG00000024601.9	18	58659466	58680368	Isoc1
ENSMUSG00000105510	ENSMUSG00000105510.1	5	72554240	72555229	Gm43815
ENSMUSG00000070692	ENSMUSG00000070692.6	2	122219993	122220391	Rps12-ps10
ENSMUSG00000023892	ENSMUSG00000023892.8	17	21450374	21465587	Zfp51
ENSMUSG00000109556	ENSMUSG00000109556.1	6	82803769	82805083	Gm38843
ENSMUSG00000112338	ENSMUSG00000112338.1	10	31555920	31557440	Gm47693
ENSMUSG00000051934	ENSMUSG00000051934.5	15	99125916	99213215	Spats2
ENSMUSG00000113735	ENSMUSG00000113735.1	12	16185773	16206472	Gm48607
ENSMUSG00000118044	ENSMUSG00000118044.1	19	21261976	21263212	Gm50243
ENSMUSG00000037868	ENSMUSG00000037868.15	10	67535475	67542188	Egr2
ENSMUSG00000020830	ENSMUSG00000020830.3	11	70513516	70514616	Vmo1
ENSMUSG00000036198	ENSMUSG00000036198.12	X	49463945	49500244	Arhgap36
ENSMUSG00000113586	ENSMUSG00000113586.1	12	16207733	16286119	Gm48606
ENSMUSG00000027713	ENSMUSG00000027713.6	3	36475937	36482299	1810062G17Rik
ENSMUSG00000063885	ENSMUSG00000063885.5	14	48227201	48228206	Gm6498
ENSMUSG00000021846	ENSMUSG00000021846.9	14	48120823	48281575	Peli2
ENSMUSG00000093485	ENSMUSG00000093485.1	11	117809668	117839904	Gm20708
ENSMUSG00000084927	ENSMUSG00000084927.1	6	141708118	141773810	Gm5724
ENSMUSG00000113892	ENSMUSG00000113892.1	12	16229750	16232227	Gm48605
ENSMUSG00000026202	ENSMUSG00000026202.13	1	75214228	75219865	Tuba4a
ENSMUSG00000113975	ENSMUSG00000113975.1	12	16204911	16221279	Gm36372
ENSMUSG00000081629	ENSMUSG00000081629.1	11	9737152	9737621	Eif3s6-ps1
ENSMUSG00000085320	ENSMUSG00000085320.1	3	36499804	36506809	Gm11548
ENSMUSG00000021509	ENSMUSG00000021509.5	13	56438355	56474239	Slc25a48
ENSMUSG00000075390	ENSMUSG00000075390.5	4	116839907	116840221	Rpl36-ps8
ENSMUSG00000085007	ENSMUSG00000085007.3	3	36515057	36532384	Gm11549
ENSMUSG00000029149	ENSMUSG00000029149.14	5	31251691	31253202	Krtcap3
ENSMUSG00000061171	ENSMUSG00000061171.15	2	65316430	65364034	Slc38a11
ENSMUSG00000105897	ENSMUSG00000105897.2	5	87290179	87311817	Gm7646
ENSMUSG00000110545	ENSMUSG00000110545.1	8	70010549	70011002	Gm7730
ENSMUSG00000098078	ENSMUSG00000098078.1	X	103422010	103481705	Gm26992
ENSMUSG00000037541	ENSMUSG00000037541.21	7	144001928	144424494	Shank2
ENSMUSG00000118337	ENSMUSG00000118337.1	18	58778425	58786768	Gm50227
ENSMUSG00000003500	ENSMUSG00000003500.13	6	29200434	29216364	Impdh1
ENSMUSG00000031329	ENSMUSG00000031329.4	X	103414467	103424580	Tsx
ENSMUSG00000035780	ENSMUSG00000035780.2	5	87324972	87337195	Ugt2a3
ENSMUSG00000029840	ENSMUSG00000029840.8	6	35508906	35539888	Mtpn
ENSMUSG00000029486	ENSMUSG00000029486.13	5	96209493	96266727	Mrpl1
ENSMUSG00000048230	ENSMUSG00000048230.6	15	36150060	36164884	Fbxo43
ENSMUSG00000108015	ENSMUSG00000108015.3	6	82823214	82841371	Gm32591
ENSMUSG00000029378	ENSMUSG00000029378.5	5	91139599	91148432	Areg
ENSMUSG00000003526	ENSMUSG00000003526.12	16	18060357	18090203	Prodh
ENSMUSG00000049796	ENSMUSG00000049796.4	3	19693401	19695396	Crh
ENSMUSG00000100291	ENSMUSG00000100291.6	6	82877864	82881853	2310069B03Rik
ENSMUSG00000033361	ENSMUSG00000033361.13	X	71962624	71972722	Prrg3
ENSMUSG00000111839	ENSMUSG00000111839.1	9	83008603	83042603	Gm39383
ENSMUSG00000085715	ENSMUSG00000085715.2	X	103431517	103484957	Tsix
ENSMUSG00000099188	ENSMUSG00000099188.1	9	83073223	83073388	Gm27248
ENSMUSG00000000959	ENSMUSG00000000959.7	14	54360834	54369673	Oxa1l
ENSMUSG00000107110	ENSMUSG00000107110.1	6	35611089	35615669	Gm42931
ENSMUSG00000086503	ENSMUSG00000086503.4	X	103460366	103483254	Xist
ENSMUSG00000111774	ENSMUSG00000111774.1	9	83098224	83106330	Gm38398
ENSMUSG00000109710	ENSMUSG00000109710.1	7	139887477	139888351	Gm4974
ENSMUSG00000021120	ENSMUSG00000021120.11	12	79080664	79089651	Pigh
ENSMUSG00000026955	ENSMUSG00000026955.13	2	25372321	25378213	Sapcd2
ENSMUSG00000115790	ENSMUSG00000115790.1	14	48129485	48130163	9530086P17Rik
ENSMUSG00000107923	ENSMUSG00000107923.1	6	121538196	121538523	Gm43922
ENSMUSG00000115686	ENSMUSG00000115686.1	14	48134224	48137246	Gm49310
ENSMUSG00000115555	ENSMUSG00000115555.1	14	48196760	48198030	Gm49307
ENSMUSG00000108223	ENSMUSG00000108223.1	6	121547594	121547860	Gm43933
ENSMUSG00000107752	ENSMUSG00000107752.1	6	121560201	121560588	Gm43934
ENSMUSG00000115896	ENSMUSG00000115896.1	15	59618590	59619055	Gm36677
ENSMUSG00000115918	ENSMUSG00000115918.1	15	86453352	86475098	A930001M01Rik
ENSMUSG00000073208	ENSMUSG00000073208.12	5	15709501	15714271	Speer4c
ENSMUSG00000025195	ENSMUSG00000025195.9	19	43846821	43940191	Dnmbp
ENSMUSG00000099354	ENSMUSG00000099354.6	6	83761756	83762865	1700124L16Rik
ENSMUSG00000051864	ENSMUSG00000051864.10	15	86214459	86498503	Tbc1d22a
ENSMUSG00000027133	ENSMUSG00000027133.3	2	112261926	112263269	Nop10
ENSMUSG00000089871	ENSMUSG00000089871.1	5	15680710	15714596	Speer4cos
ENSMUSG00000060716	ENSMUSG00000060716.7	12	79029163	79081655	Plekhh1
ENSMUSG00000066456	ENSMUSG00000066456.14	9	83109948	83146685	Hmgn3
ENSMUSG00000107438	ENSMUSG00000107438.1	6	121625712	121626465	Gm43945
ENSMUSG00000024750	ENSMUSG00000024750.11	19	21272278	21286840	Zfand5
ENSMUSG00000014747	ENSMUSG00000014747.6	6	83762644	83768326	Ankrd53
ENSMUSG00000110419	ENSMUSG00000110419.1	8	57651757	57663430	AW046200
ENSMUSG00000108674	ENSMUSG00000108674.2	13	21698111	21706833	Olfr1359
ENSMUSG00000070025	ENSMUSG00000070025.8	8	57550299	57551303	Gm10284
ENSMUSG00000082841	ENSMUSG00000082841.1	4	116852664	116853110	Gm12994
ENSMUSG00000109585	ENSMUSG00000109585.1	8	57641518	57643822	Gm45358
ENSMUSG00000081690	ENSMUSG00000081690.1	11	70517725	70518043	Gm12317
ENSMUSG00000110238	ENSMUSG00000110238.1	8	57639330	57640133	Gm19269
ENSMUSG00000094338	ENSMUSG00000094338.1	13	21715763	21716143	Hist1h2bl
ENSMUSG00000082063	ENSMUSG00000082063.1	4	116874588	116875465	Gm12993
ENSMUSG00000031608	ENSMUSG00000031608.13	8	57523828	57653032	Galnt7
ENSMUSG00000027353	ENSMUSG00000027353.14	2	132816141	132844197	Mcm8
ENSMUSG00000087050	ENSMUSG00000087050.1	11	78030012	78032665	Dhrs13os
ENSMUSG00000116157	ENSMUSG00000116157.1	15	81966988	81968543	Cyp2d67-ps
ENSMUSG00000020834	ENSMUSG00000020834.17	11	78032280	78037866	Dhrs13
ENSMUSG00000083796	ENSMUSG00000083796.3	2	24993357	24994343	Gm13369
ENSMUSG00000061848	ENSMUSG00000061848.5	15	81972390	81972845	Gm5805
ENSMUSG00000079513	ENSMUSG00000079513.1	X	89752268	89755491	4932429P05Rik
ENSMUSG00000075604	ENSMUSG00000075604.5	15	74834125	74841643	Cyp11b1
ENSMUSG00000095834	ENSMUSG00000095834.2	16	3730510	3731022	Tdgf1-ps1
ENSMUSG00000098150	ENSMUSG00000098150.2	15	18078118	18369627	4921515E04Rik
ENSMUSG00000018362	ENSMUSG00000018362.14	11	106988629	106999541	Kpna2
ENSMUSG00000004709	ENSMUSG00000004709.14	1	171559193	171609746	Cd244a
ENSMUSG00000070777	ENSMUSG00000070777.5	7	19965412	19991104	Ceacam20
ENSMUSG00000028082	ENSMUSG00000028082.14	3	85971109	86130526	Sh3d19
ENSMUSG00000098222	ENSMUSG00000098222.2	15	18163881	18164752	Gm8318
ENSMUSG00000118342	ENSMUSG00000118342.1	19	21310376	21313283	Gm50255
ENSMUSG00000000958	ENSMUSG00000000958.10	14	54369442	54417780	Slc7a7
ENSMUSG00000083388	ENSMUSG00000083388.1	3	36539383	36540081	Gm11550
ENSMUSG00000036052	ENSMUSG00000036052.14	4	42949814	42959425	Dnajb5
ENSMUSG00000053593	ENSMUSG00000053593.10	X	71972986	71989046	Fate1
ENSMUSG00000020747	ENSMUSG00000020747.17	11	115765433	115799366	Tmem94
ENSMUSG00000091734	ENSMUSG00000091734.2	6	58301549	58311685	Vmn1r29
ENSMUSG00000102261	ENSMUSG00000102261.1	3	19708270	19709320	Gm18864
ENSMUSG00000107145	ENSMUSG00000107145.1	6	35926711	35927124	Gm43442
ENSMUSG00000107089	ENSMUSG00000107089.1	6	36186707	36189099	Gm43443
ENSMUSG00000068600	ENSMUSG00000068600.10	15	74819071	74834871	Gml2
ENSMUSG00000106182	ENSMUSG00000106182.1	3	19768873	19769255	Gm7442
ENSMUSG00000091133	ENSMUSG00000091133.1	13	69610498	69614901	Gm17108
ENSMUSG00000113486	ENSMUSG00000113486.1	13	69514000	69514176	Gm48676
ENSMUSG00000021594	ENSMUSG00000021594.11	13	69573449	69611442	Srd5a1
ENSMUSG00000039262	ENSMUSG00000039262.16	2	32151082	32234537	Prrc2b
ENSMUSG00000020376	ENSMUSG00000020376.17	11	50025346	50125719	Rnf130
ENSMUSG00000037791	ENSMUSG00000037791.15	11	77982754	78030539	Phf12
ENSMUSG00000093547	ENSMUSG00000093547.1	6	58394054	58394422	Gm20674
ENSMUSG00000018634	ENSMUSG00000018634.10	11	104132855	104175523	Crhr1
ENSMUSG00000003680	ENSMUSG00000003680.16	19	8774487	8786417	Taf6l
ENSMUSG00000091083	ENSMUSG00000091083.4	7	141406637	141407194	Gm4535
ENSMUSG00000024771	ENSMUSG00000024771.7	19	34008290	34047835	Lipk
ENSMUSG00000039640	ENSMUSG00000039640.7	11	120484613	120489065	Mrpl12
ENSMUSG00000083455	ENSMUSG00000083455.1	X	49560626	49560884	Gm15037
ENSMUSG00000095276	ENSMUSG00000095276.2	7	45176349	45179569	Gfy
ENSMUSG00000042564	ENSMUSG00000042564.13	15	79609576	79658956	Fam227a
ENSMUSG00000118000	ENSMUSG00000118000.1	19	43920473	43927928	Gm50217
ENSMUSG00000034575	ENSMUSG00000034575.13	13	69497959	69534617	Tent4a
ENSMUSG00000085957	ENSMUSG00000085957.4	5	134558146	134560171	Syna
ENSMUSG00000038300	ENSMUSG00000038300.6	7	45180995	45181838	Pth2
ENSMUSG00000057113	ENSMUSG00000057113.13	11	33152287	33163206	Npm1
ENSMUSG00000097232	ENSMUSG00000097232.1	15	41758060	41788911	Gm26854
ENSMUSG00000107090	ENSMUSG00000107090.1	5	134552057	134558495	Gm42884
ENSMUSG00000001036	ENSMUSG00000001036.17	11	61517249	61579687	Epn2
ENSMUSG00000092377	ENSMUSG00000092377.1	17	36703775	36704203	Gm20549
ENSMUSG00000004707	ENSMUSG00000004707.14	1	171588624	171607410	Ly9
ENSMUSG00000092172	ENSMUSG00000092172.1	17	36705724	36706847	Gm20523
ENSMUSG00000109500	ENSMUSG00000109500.1	7	144109593	144111085	Gm44999
ENSMUSG00000046811	ENSMUSG00000046811.3	11	70519196	70520736	Gltpd2
ENSMUSG00000092343	ENSMUSG00000092343.1	17	36723234	36723281	Gm20525
ENSMUSG00000085745	ENSMUSG00000085745.1	7	144368048	144406933	Gm14372
ENSMUSG00000116968	ENSMUSG00000116968.1	16	76383107	76398126	Gm49587
ENSMUSG00000031196	ENSMUSG00000031196.13	X	75172715	75382615	F8
ENSMUSG00000092435	ENSMUSG00000092435.1	17	36723948	36724275	Gm20526
ENSMUSG00000057409	ENSMUSG00000057409.7	17	21488998	21510473	Zfp53
ENSMUSG00000050299	ENSMUSG00000050299.8	16	76403251	76403652	Gm9843
ENSMUSG00000039067	ENSMUSG00000039067.5	8	107580381	107588464	Psmd7
ENSMUSG00000109338	ENSMUSG00000109338.2	16	76427743	76502909	Gm45030
ENSMUSG00000090008	ENSMUSG00000090008.1	5	21889780	21890064	Gm16111
ENSMUSG00000092521	ENSMUSG00000092521.2	17	36732642	36734751	Gm4271
ENSMUSG00000051788	ENSMUSG00000051788.4	3	105066844	105078806	4930564D02Rik
ENSMUSG00000112489	ENSMUSG00000112489.1	12	79088705	79103939	9230116L04Rik
ENSMUSG00000089793	ENSMUSG00000089793.1	5	22292787	22293168	Gm16112
ENSMUSG00000092385	ENSMUSG00000092385.1	17	36752513	36753979	Gm20401
ENSMUSG00000116701	ENSMUSG00000116701.1	16	76548795	76551224	Gm30726
ENSMUSG00000001707	ENSMUSG00000001707.8	13	38644207	38659058	Eef1e1
ENSMUSG00000097781	ENSMUSG00000097781.1	17	21528194	21535878	9330136K24Rik
ENSMUSG00000051007	ENSMUSG00000051007.15	7	141407794	141414136	Gatd1
ENSMUSG00000033948	ENSMUSG00000033948.3	4	116877376	116989264	Zswim5
ENSMUSG00000090226	ENSMUSG00000090226.1	5	22334442	22336118	Gm16110
ENSMUSG00000117037	ENSMUSG00000117037.1	17	21516713	21530995	Gm50433
ENSMUSG00000090197	ENSMUSG00000090197.1	5	21951858	21952499	Dnaja1-ps
ENSMUSG00000105766	ENSMUSG00000105766.1	5	21956094	21957986	Gm19666
ENSMUSG00000051341	ENSMUSG00000051341.6	17	21535539	21562601	Zfp52
ENSMUSG00000073152	ENSMUSG00000073152.4	5	21910931	21954014	Gm10475
ENSMUSG00000108903	ENSMUSG00000108903.1	16	76680513	76741443	Gm45029
ENSMUSG00000092460	ENSMUSG00000092460.1	17	36759857	36762423	Gm8878
ENSMUSG00000068480	ENSMUSG00000068480.6	7	65784859	65785932	Gm7551
ENSMUSG00000110855	ENSMUSG00000110855.1	2	85683262	85683399	Olfr1007-ps1
ENSMUSG00000109333	ENSMUSG00000109333.1	16	76751793	76779092	Gm30790
ENSMUSG00000022529	ENSMUSG00000022529.11	16	3744093	3750790	Zfp263
ENSMUSG00000050603	ENSMUSG00000050603.1	2	85689431	85690372	Olfr1008
ENSMUSG00000055748	ENSMUSG00000055748.12	15	63891264	63912297	Gsdmc4
ENSMUSG00000004328	ENSMUSG00000004328.15	7	17031507	17062427	Hif3a
ENSMUSG00000102036	ENSMUSG00000102036.1	16	76819585	76841784	1700063K16Rik
ENSMUSG00000044600	ENSMUSG00000044600.14	8	72565188	72571088	Smim7
ENSMUSG00000074346	ENSMUSG00000074346.6	3	105441595	105452955	Kcnd3os
ENSMUSG00000116807	ENSMUSG00000116807.1	16	76941616	76942183	Gm7501
ENSMUSG00000100857	ENSMUSG00000100857.2	16	76819583	77010897	1700041M19Rik
ENSMUSG00000031551	ENSMUSG00000031551.12	8	24584136	24597009	Ido1
ENSMUSG00000085779	ENSMUSG00000085779.1	10	81194609	81210877	Atcayos
ENSMUSG00000040896	ENSMUSG00000040896.16	3	105452330	105674002	Kcnd3
ENSMUSG00000093702	ENSMUSG00000093702.1	6	58406413	58407327	Vmn1r-ps20
ENSMUSG00000037246	ENSMUSG00000037246.6	17	36772910	36776234	H2-M10.5
ENSMUSG00000107518	ENSMUSG00000107518.1	6	58438695	58438858	Gm44016
ENSMUSG00000095670	ENSMUSG00000095670.2	6	58434159	58443385	Vmn1r30
ENSMUSG00000045039	ENSMUSG00000045039.9	7	25317164	25365917	Megf8
ENSMUSG00000051805	ENSMUSG00000051805.1	13	69543046	69544023	A530095I07Rik
ENSMUSG00000064267	ENSMUSG00000064267.13	5	122206804	122242297	Hvcn1
ENSMUSG00000034958	ENSMUSG00000034958.11	10	81204508	81230833	Atcay
ENSMUSG00000118302	ENSMUSG00000118302.1	19	34056140	34056475	Gm31300
ENSMUSG00000082207	ENSMUSG00000082207.1	4	116945732	116946534	Gm12998
ENSMUSG00000102882	ENSMUSG00000102882.1	9	83114108	83116864	Gm2065
ENSMUSG00000093461	ENSMUSG00000093461.1	6	58455069	58455993	Vmn1r-ps21
ENSMUSG00000081865	ENSMUSG00000081865.1	5	110118022	110118849	Gm15484
ENSMUSG00000101144	ENSMUSG00000101144.2	9	83145915	83147364	Gm29054
ENSMUSG00000118261	ENSMUSG00000118261.1	19	8776266	8776560	Gm2518
ENSMUSG00000062070	ENSMUSG00000062070.12	X	106187100	106203699	Pgk1
ENSMUSG00000026295	ENSMUSG00000026295.12	1	88406961	88426438	Spp2
ENSMUSG00000023284	ENSMUSG00000023284.15	5	110110092	110129794	Zfp605
ENSMUSG00000037130	ENSMUSG00000037130.4	17	36812171	36815564	H2-M10.6
ENSMUSG00000109728	ENSMUSG00000109728.1	8	57658262	57658688	Gm45359
ENSMUSG00000093588	ENSMUSG00000093588.1	6	58504443	58504737	Vmn1r-ps23
ENSMUSG00000093747	ENSMUSG00000093747.1	6	58461107	58461536	Gm20673
ENSMUSG00000089636	ENSMUSG00000089636.1	7	19258492	19259739	1700058P15Rik
ENSMUSG00000115404	ENSMUSG00000115404.1	6	58470941	58475330	Vmn1r31
ENSMUSG00000109852	ENSMUSG00000109852.1	8	57626083	57627487	Gm45360
ENSMUSG00000030403	ENSMUSG00000030403.9	7	19256929	19271817	Vasp
ENSMUSG00000110405	ENSMUSG00000110405.1	8	57604818	57607156	Gm45534
ENSMUSG00000108761	ENSMUSG00000108761.1	7	4412438	4412900	Atp6v0c-ps1
ENSMUSG00000115961	ENSMUSG00000115961.1	16	3770454	3785729	Gm41409
ENSMUSG00000103618	ENSMUSG00000103618.1	Y	8251026	8254057	Gm37951
ENSMUSG00000110289	ENSMUSG00000110289.1	8	57650889	57652359	4930412F12Rik
ENSMUSG00000118410	ENSMUSG00000118410.1	16	3774780	3776826	AC139347.1
ENSMUSG00000100421	ENSMUSG00000100421.1	Y	8247646	8257801	Gm29044
ENSMUSG00000029657	ENSMUSG00000029657.15	5	149614287	149636376	Hsph1
ENSMUSG00000045989	ENSMUSG00000045989.4	7	126830468	126831639	4930451I11Rik
ENSMUSG00000109881	ENSMUSG00000109881.1	7	138890964	138894675	Gm45507
ENSMUSG00000082079	ENSMUSG00000082079.2	2	153696652	153729907	Dnmt3c
ENSMUSG00000068706	ENSMUSG00000068706.3	15	5120654	5121135	Gm10250
ENSMUSG00000078566	ENSMUSG00000078566.8	7	138890836	138909519	Bnip3
ENSMUSG00000093741	ENSMUSG00000093741.1	6	58512271	58512531	Gm20672
ENSMUSG00000107960	ENSMUSG00000107960.1	6	58457868	58521810	Gm35077
ENSMUSG00000024857	ENSMUSG00000024857.16	19	4081578	4087340	Cabp2
ENSMUSG00000093518	ENSMUSG00000093518.1	6	58494348	58495247	Vmn1r-ps22
ENSMUSG00000067931	ENSMUSG00000067931.6	17	21567008	21588699	Zfp948
ENSMUSG00000025792	ENSMUSG00000025792.9	11	120491840	120499187	Slc25a10
ENSMUSG00000027794	ENSMUSG00000027794.4	3	55182028	55209957	Sohlh2
ENSMUSG00000100885	ENSMUSG00000100885.1	Y	68702856	68706197	Gm29446
ENSMUSG00000101120	ENSMUSG00000101120.1	Y	68707611	68707923	Gm29452
ENSMUSG00000027227	ENSMUSG00000027227.7	2	122234749	122265340	Sord
ENSMUSG00000049013	ENSMUSG00000049013.3	3	85993810	86002491	Prss48
ENSMUSG00000083356	ENSMUSG00000083356.1	11	107003909	107004740	Gm11708
