Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	FPKM	Gene name
7	144929931	144939925	1.4945899999999999	CCND1
6	127125162	127152193	62.1541	CCND2
17	47505051	47599691	59.838	CCND3
2	121008403	121016904	32.4623	CCNDBP1
7	38097984	38107534	3.50661	CCNE1
4	11191351	11204779	9.47264	CCNE2
17	24222198	24251484	10.1639	CCNF
11	40748552	40755311	114.75200000000001	CCNG1
5	93267257	93276231	20.9288	CCNG2
13	85189408	85223469	13.4744	CCNH
5	93181933	93206495	68.0243	CCNI
19	40831279	40848572	17.2416	CCNJ
11	43528784	43586997	0.240035	CCNJL
12	108179579	108203359	4.00617	CCNK
3	65946151	65958249	43.5663	CCNL1
4	155812489	155824543	25.737	CCNL2
13	112987802	112990777	0.0169025	CCNO
15	98538689	98570923	20.3953	CCNT1
1	127774164	127808061	17.7173	CCNT2
18	9312304	9450154	51.7341	CCNY
1	64690455	64725644	3.15295	CCNYL1
7	118712552	118737024	6.23566	CCP110
9	72985429	73016340	54.6515	CCPG1
9	72979722	72985382	14.8867	CCPG1OS
9	123962124	123968692	40.2682	CCR1
11	101172997	101175443	0.0	CCR10
9	123977243	123978408	8.952060000000001	CCR1L1
9	124101950	124113557	84.6351	CCR2
9	124021972	124031689	7.86575	CCR3
9	114490316	114504916	0.0554696	CCR4
9	124121543	124147699	27.5231	CCR5
17	8236043	8257141	0.0	CCR6
11	99144196	99155077	0.0	CCR7
9	120092114	120094906	0.0	CCR8
9	123678439	123784330	0.056174400000000006	CCR9
9	111054486	111057519	9.56503	CCRL2
19	4825366	4839332	20.0866	CCS
8	123840831	123860209	3.65162	CCSAP
6	61180324	62382865	0.0	CCSER1
14	36874936	36968777	11.39	CCSER2
10	117051001	117063814	117.57700000000001	CCT2
3	88297116	88321767	64.7479	CCT3
11	22990519	23003780	96.7005	CCT4
15	31590800	31601804	130.501	CCT5
5	129786998	129846371	69.1826	CCT6A
11	82719250	82764321	0.489375	CCT6B
6	85451514	85468475	58.1598	CCT7
16	87483326	87495873	58.1681	CCT8
5	25516067	25518027	0.0322305	CCT8L1
5	143987909	144014877	32.13	CCZ1
3	100993529	101029556	0.0	CD101
9	78615546	78716253	0.0205266	CD109
18	36725067	36726798	0.777946	CD14
7	141467392	141471473	27.5054	CD151
3	96798763	96829351	0.734613	CD160
6	124304656	124330527	1.17005	CD163
7	140218267	140231145	0.0	CD163L1
10	41519414	41531048	42.1936	CD164
4	133212131	133224555	0.0	CD164L2
7	24743983	24760311	0.011408100000000001	CD177
13	102693558	102739629	5.42543	CD180
7	126408450	126414889	0.0	CD19
3	86995834	86999441	1.32665	CD1D1
3	86986551	86989780	0.0	CD1D2
3	101275899	101287939	0.0	CD2
16	45382135	45409053	0.0133017	CD200
16	44765736	44794978	73.5008	CD200R1
16	44867097	44915840	1.1297700000000002	CD200R2
16	44943678	44981380	375.166	CD200R3
16	44811733	44839150	186.937	CD200R4
6	83671215	83677857	0.0	CD207
8	3743397	3748984	0.0	CD209A
8	3917655	3926844	0.0	CD209B
8	3940222	3954746	2.43355	CD209C
8	3871824	3878555	0.0	CD209D
8	3847965	3854309	0.0	CD209E
8	4102787	4105835	0.0	CD209F
8	4134098	4137707	0.0	CD209G
7	30865402	30880342	0.022997999999999998	CD22
18	89176967	89272229	1.90146	CD226
1	165788681	165877277	0.284673	CD247
19	5068078	5070682	0.0	CD248
10	43578284	43584265	36.2553	CD24A
6	125232622	125237010	0.208389	CD27
19	29367455	29388095	24.3794	CD274
9	58524298	58555437	10.9961	CD276
1	60716800	60773359	0.014068299999999999	CD28
17	42792951	42876665	9.91868	CD2AP
7	127191660	127196050	26.1603	CD2BP2
11	114890041	114904654	75.80199999999999	CD300A
11	114956116	114969157	4.14116	CD300C
11	115051917	115062177	0.0648876	CD300E
11	114922781	114934386	113.27799999999999	CD300LB
11	114982274	114989922	1.53444	CD300LD
11	115116214	115133992	44.6915	CD300LF
11	102041509	102055620	0.0	CD300LG
2	60251993	60284488	1.0175100000000001	CD302
17	33843091	33849774	1.29104	CD320
7	43524216	43544428	17.1388	CD33
1	194938819	194961279	329.45300000000003	CD34
5	17781690	17888801	0.0630898	CD36
7	45233632	45239115	53.9602	CD37
5	43868553	43912375	0.5863470000000001	CD38
9	44981786	44987339	0.0246322	CD3D
9	44998740	45009627	0.0	CD3E
7	19356014	19359483	7.44314	CD3EAP
9	44969572	44980431	0.0	CD3G
6	124864692	124888221	0.029817400000000004	CD4
2	165055627	165072948	0.0	CD40
X	57212143	57224042	0.0	CD40LG
2	102811141	102901665	6.6515699999999995	CD44
1	195036826	195092249	1.01041	CD46
16	49800533	49915010	56.3891	CD47
1	171682009	171705258	53.0338	CD48
19	10717116	10739002	0.030429599999999998	CD5
4	134082448	134095082	18.0336	CD52
3	106759921	106790149	106.719	CD53
1	130439027	130462744	359.92199999999997	CD55
2	104095801	104115354	56.5831	CD59A
2	104069849	104091187	0.980409	CD59B
3	87357881	87371073	0.0	CD5L
19	10789341	10830058	0.0	CD6
10	128900989	128912822	425.13199999999995	CD63
11	69664213	69666153	8.92267	CD68
6	129267325	129275436	48.9912	CD69
11	121036747	121039418	0.292813	CD7
17	57145997	57149777	0.0833203	CD70
4	43446462	43454628	4.6659	CD72
18	60803848	60812652	1.15792	CD74
7	24897381	24902197	0.27163699999999996	CD79A
11	106311341	106314762	2.2709099999999998	CD79B
16	38455561	38496335	0.0188047	CD80
7	143052739	143067934	128.922	CD81
2	93419111	93463140	30.4494	CD82
13	43784775	43803132	0.0146684	CD83
1	171839697	171890718	67.5798	CD84
16	36603869	36666081	0.134628	CD86
6	71373427	71379173	0.019841099999999997	CD8A
6	71322788	71337494	0.0	CD8B1
6	125460266	125494791	154.659	CD9
2	148436640	148443563	95.6103	CD93
16	46035657	46120251	43.9499	CD96
X	71420060	71492849	5.97553	CD99L2
4	138338424	138367992	0.131109	CDA
14	59559388	59597959	10.4699	CDADC1
2	120716154	120850128	5.1165400000000005	CDAN1
2	5794294	5845164	30.5973	CDC123
3	116272553	116428745	13.2949	CDC14A
13	64189268	64275290	0.332746	CDC14B
8	13757676	13781938	21.660999999999998	CDC16
4	118432901	118437352	24.4492	CDC20
13	113035111	113091195	0.0	CDC20B
18	34630951	34651735	16.2349	CDC23
9	109875579	109893895	3.9258	CDC25A
2	131186949	131198497	8.64511	CDC25B
18	34732993	34751533	3.84534	CDC25C
4	62383654	62408642	31.9602	CDC26
11	104502745	104550620	19.5322	CDC27
10	79682195	79688398	31.0507	CDC34
9	21133222	21149982	71.0659	CDC37
19	28990352	29026681	20.9737	CDC37L1
10	40831621	40883311	7.82137	CDC40
4	137319696	137357720	297.284	CDC42
1	179960472	180165603	4.5702	CDC42BPA
12	111292976	111377718	4.0347599999999995	CDC42BPB
19	6306456	6325652	2.0182	CDC42BPG
15	78842624	78850897	0.0	CDC42EP1
19	5915636	5924816	0.737981	CDC42EP2
17	79333727	79355091	19.4355	CDC42EP3
11	113726850	113751881	2.3163400000000003	CDC42EP4
7	4151260	4164860	0.242407	CDC42EP5
3	95228732	95236409	46.513000000000005	CDC42SE1
11	54717456	54787675	56.3118	CDC42SE2
16	18780447	18811987	11.4018	CDC45
17	45391884	45433737	35.9512	CDC5L
11	98907801	98923940	3.3918800000000005	CDC6
5	106964322	106984432	6.938269999999999	CDC7
1	143598800	143702893	7.994610000000001	CDC73
14	67676331	67715841	9.26474	CDCA2
6	124829547	124833701	36.0673	CDCA3
12	112820229	112829423	16.9659	CDCA4
19	6084983	6091777	6.57994	CDCA5
2	72476159	72486893	7.0319899999999995	CDCA7
12	117804289	117878706	9.14978	CDCA7L
4	124918465	124939311	27.6143	CDCA8
9	123170824	123216038	0.0	CDCP1
4	107096891	107113125	0.0	CDCP2
8	106603351	106670246	0.254421	CDH1
15	18818947	19014236	0.0	CDH10
8	102632095	102785642	0.20903899999999997	CDH11
15	20449265	21589533	0.0	CDH12
8	118283733	119324921	0.0	CDH13
8	122847966	122867397	0.0	CDH15
8	104601911	104624396	0.0	CDH16
4	11758147	11817895	0.017684799999999997	CDH17
15	22549022	23474418	0.0	CDH18
1	110888326	110977584	0.0	CDH19
18	16588877	16809246	5.64065	CDH2
1	104768529	104995481	0.0	CDH20
2	165111507	165234853	0.0	CDH22
10	60302748	60696490	0.021475599999999997	CDH23
14	54631231	54641364	0.27231500000000003	CDH24
2	178430531	178487366	0.0	CDH26
8	106510891	106557297	0.0	CDH3
2	179442431	179899373	0.0189525	CDH4
8	104101625	104144511	0.0	CDH5
15	13028701	13173675	0.0	CDH6
1	109982431	110140157	0.0	CDH7
8	99024471	99416471	0.0	CDH8
15	16728756	16857094	0.0	CDH9
14	37077857	37098347	0.0211682	CDHR1
13	54701461	54736662	0.0	CDHR2
12	33033796	33092875	0.0	CDHR3
7	141269083	141276786	0.0	CDHR5
16	4750348	4790292	6.121169999999999	CDIP1
7	126975914	126980501	46.4051	CDIPT
10	69335146	69352938	17.0478	CDK1
8	123224842	123232250	13.8134	CDK10
4	155624854	155649938	28.9065	CDK11B
11	98203059	98278504	21.2317	CDK12
13	17710315	17805097	22.0847	CDK13
5	4803391	5420312	5.39536	CDK14
1	59256906	59352993	0.08772769999999999	CDK15
X	20687954	20699880	10.4847	CDK16
10	93160875	93267071	22.0888	CDK17
1	132112237	132139684	1.7282099999999998	CDK18
10	40339564	40483818	17.7352	CDK19
10	128697939	128705031	18.5072	CDK2
13	64432314	64441773	0.278277	CDK20
5	124345417	124363082	19.3521	CDK2AP1
19	4097182	4099019	48.1595	CDK2AP2
10	127063534	127067920	89.691	CDK4
5	24418241	24423530	15.6079	CDK5
11	80477023	80481184	0.25746399999999997	CDK5R1
1	74854934	74857732	0.0	CDK5R2
2	154335380	154373010	4.18544	CDK5RAP1
4	70216856	70410443	11.9155	CDK5RAP2
11	96907426	96916496	18.2483	CDK5RAP3
5	3341485	3531008	39.5788	CDK6
13	100702631	100730939	4.4541900000000005	CDK7
5	146231230	146302874	14.777000000000001	CDK8
2	32705784	32713076	28.1531	CDK9
13	29191746	29855674	10.7625	CDKAL1
12	69746848	69791267	0.0379141	CDKL1
5	92006074	92043883	1.10657	CDKL2
11	52004221	52089784	2.7669	CDKL3
17	80523550	80577813	0.294625	CDKL4
X	160771923	160994704	0.06619580000000001	CDKL5
17	29090976	29100727	21.590999999999998	CDKN1A
6	134920401	134925513	53.1689	CDKN1B
7	143458339	143461050	0.0498964	CDKN1C
4	89274471	89294653	27.8311	CDKN2A
8	47709344	47713932	8.7231	CDKN2AIP
11	51967661	51977334	44.2177	CDKN2AIPNL
4	89306299	89311039	2.29297	CDKN2B
4	109660876	109667189	15.2211	CDKN2C
9	21288410	21291407	1.24491	CDKN2D
14	46760541	46771669	19.3466	CDKN3
2	3513030	3526376	0.899573	CDNF
18	46713193	46728395	0.31647	CDO1
9	35421128	35507652	0.0664809	CDON
15	85806972	85811697	8.68321	CDPF1
X	61184005	61185558	0.0	CDR1
7	120957036	120982312	3.00379	CDR2
11	115381916	115396132	0.0165038	CDR2L
11	62951193	62993095	0.0	CDRT4
5	101765130	101823858	0.209958	CDS1
2	132263148	132312050	63.3157	CDS2
17	35552128	35557180	0.0	CDSN
8	122568015	122573554	5.18077	CDT1
9	103353094	103365840	35.894	CDV3
18	61018862	61036199	0.0	CDX1
5	147300805	147307270	0.0	CDX2
X	103321398	103330592	0.0	CDX4
13	35659833	35874063	8.124939999999999	CDYL
8	116574400	116732991	1.39446	CDYL2
7	16648949	16657476	0.0	CEACAM-PS1
7	25461707	25477603	0.704804	CEACAM1
7	24777206	24784657	0.0	CEACAM10
7	17972124	17978556	0.0	CEACAM11
7	18065929	18077986	0.0	CEACAM12
7	18009889	18019221	0.0	CEACAM13
7	17812633	17815663	0.0	CEACAM14
7	16671331	16675705	0.0	CEACAM15
7	19852097	19861299	6.6512199999999995	CEACAM16
7	43634707	43649295	0.0	CEACAM18
7	19875742	19887965	0.10943199999999999	CEACAM19
7	25516042	25539857	0.24682300000000001	CEACAM2
7	19965412	19991104	0.0	CEACAM20
7	17150282	17164253	0.0	CEACAM3
7	17713238	17761132	0.0	CEACAM5
7	16721929	16726132	0.0	CEACAM9
7	35119293	35121928	6.21132	CEBPA
2	167688915	167690418	4.447780000000001	CEBPB
16	15887286	15891031	1.9523700000000002	CEBPD
14	54710360	54712174	0.0	CEBPE
7	35046422	35056573	17.5711	CEBPG
17	78919006	78937066	16.8205	CEBPZ
17	78916500	78920306	9.66906	CEBPZOS
6	120666369	120771190	0.00323999	CECR2
2	28555795	28563403	0.0	CEL
15	100674421	100687921	3.6385099999999997	CELA1
4	141814962	141826160	0.07580369999999999	CELA2A
4	137420999	137430540	0.0	CELA3B
2	90940382	91019497	12.4691	CELF1
2	6539694	7509563	0.0	CELF2
3	94478295	94492198	0.0636322	CELF3
18	25477632	25754157	0.055233500000000005	CELF4
10	81459227	81482709	0.0138268	CELF5
9	59577917	59607292	0.0	CELF6
1	121087405	121178441	0.0	CELRR
15	85898929	86033777	0.126648	CELSR1
3	108390851	108415552	0.028648000000000003	CELSR2
9	108826320	108852969	0.0515457	CELSR3
7	83932857	84086502	0.0	CEMIP
7	141426446	141429491	0.0	CEND1
5	30666777	30674830	16.7013	CENPA
2	131175182	131180067	54.0016	CENPB
5	86012024	86065583	24.2884	CENPC1
3	135212537	135273611	14.1282	CENPE
1	189640606	189688086	17.5316	CENPF
13	100759674	100775899	8.02604	CENPH
X	134308084	134362639	6.02453	CENPI
14	56526761	56575425	5.87915	CENPJ
13	104228611	104252392	11.0105	CENPK
1	161070713	161086724	5.822030000000001	CENPL
15	82233779	82244748	6.06004	CENPM
8	116921730	116941507	6.07311	CENPN
12	4196004	4234294	5.6554400000000005	CENPO
13	49464023	49652785	3.5242400000000003	CENPP
17	40923051	40935047	24.2087	CENPQ
8	105844673	105853278	6.92435	CENPT
8	46552028	46580007	2.40983	CENPU
11	62524946	62539261	8.9086	CENPV
10	30194569	30200560	2.6503799999999997	CENPW
4	153975194	154008732	4.625430000000001	CEP104
11	108425192	108860615	0.42856099999999997	CEP112
18	53681723	53744608	14.605	CEP120
12	90998492	91384409	8.68248	CEP128
11	120064430	120086827	3.53738	CEP131
5	76588698	76646466	3.07841	CEP135
2	125563088	125625113	5.0652099999999995	CEP152
9	87189577	87255536	8.208919999999999	CEP162
9	45766946	45828691	1.5606	CEP164
1	176733653	176814067	25.7301	CEP170
12	112720455	112746592	1.4334	CEP170B
16	32099800	32108069	17.7027	CEP19
18	67800107	67885170	16.8022	CEP192
2	155956458	155998900	20.447	CEP250
10	100487558	100574840	8.87142	CEP290
1	155844964	155973255	11.1265	CEP350
6	30653457	30693749	1.9038400000000002	CEP41
8	56531522	56551047	7.8475399999999995	CEP44
19	38055011	38074423	10.9791	CEP55
9	13807792	13827107	17.1785	CEP57
10	41718840	41809871	10.2151	CEP57L1
9	102584588	102626534	7.86947	CEP63
11	20227037	20249429	9.960510000000001	CEP68
9	99243367	99300404	4.73113	CEP70
13	74036500	74062299	1.58995	CEP72
18	67617800	67641336	5.961530000000001	CEP76
19	15955773	15984989	3.9124	CEP78
10	94688654	94790853	10.7217	CEP83
10	94671025	94688576	4.46404	CEP83OS
4	134129858	134187112	10.1554	CEP85
10	53273443	53379947	2.8431599999999997	CEP85L
7	35397035	35438689	8.7226	CEP89
11	106789252	106819930	13.5247	CEP95
16	55899888	55934855	6.00847	CEP97
3	106502260	106547802	11.454	CEPT1
4	82881751	82885148	0.018312900000000003	CER1
2	29869164	29882840	4.13952	CERCAM
15	86139128	86186141	72.5438	CERK
2	79330543	79456785	1.54029	CERKL
8	70315775	70331592	0.052172	CERS1
3	95314791	95323599	75.7381	CERS2
7	66743504	66823691	0.0660895	CERS3
8	4493026	4531680	7.5606100000000005	CERS4
15	99734881	99772885	24.5452	CERS5
2	68861441	69114282	18.0923	CERS6
8	93020214	93048192	0.0	CES1A
8	93056728	93080017	0.0	CES1B
8	93099015	93131283	0.0	CES1C
8	93166068	93197838	0.0	CES1D
8	93201218	93229619	0.0	CES1E
8	93256236	93279747	0.0	CES1F
8	93302369	93337308	0.0	CES1G
8	104734003	104741634	0.0	CES2A
8	104831572	104840093	0.0	CES2B
8	104847068	104854483	0.0	CES2C
8	104867488	104873861	0.0	CES2D-PS
8	104926260	104934672	0.0	CES2E
8	104947356	104960047	0.0	CES2F
8	104961718	104969537	0.16200799999999999	CES2G
8	105000853	105021178	0.0	CES2H
8	105048601	105058413	0.0	CES3A
8	105083753	105093929	0.0	CES3B
8	105131800	105150109	0.0	CES4A
8	93499064	93535830	0.0	CES5A
18	9615524	9619478	0.0	CETN1
X	72913532	72918411	70.4187	CETN2
13	81783077	81797155	58.1523	CETN3
3	37307749	37312708	55.7956	CETN4
17	34856374	34862518	0.101375	CFB
1	34535648	34544313	0.0	CFC1
10	79890853	79892655	0.037254199999999994	CFD
8	111768491	111854291	102.21600000000001	CFDP1
1	140084708	140183764	0.166903	CFH
1	139547053	139560272	0.0	CFHR1
1	139804167	139858702	0.0	CFHR2
3	129835884	129875332	0.0	CFI
19	5490455	5495201	569.616	CFL1
12	54858809	54862877	6.56003	CFL2
1	58711508	58758884	24.0629	CFLAR
X	20925454	20931555	91.6435	CFP
6	18170687	18322768	0.0	CFTR
4	34893779	34907370	0.0	CGA
16	64851996	64859507	31.4692	CGGBP1
3	94760069	94786515	0.0	CGN
9	71626509	71771602	0.00888773	CGNL1
5	30933143	30945591	0.317671	CGREF1
14	46832125	46854193	16.5541	CGRRF1
19	34473778	34475164	0.0	CH25H
2	119351229	119354381	1.35457	CHAC1
11	30976707	30986350	2.95663	CHAC2
11	94565047	94569127	0.155098	CHAD
15	81678296	81697287	0.170847	CHADL
17	56040439	56072289	8.14983	CHAF1A
16	93883901	93906115	50.1647	CHAF1B
8	13869641	13881639	8.43529	CHAMP1
14	32408203	32465989	0.0	CHAT
14	20703006	20704425	50.817	CHCHD1
10	75933130	75937747	1.3764100000000001	CHCHD10
5	129881156	129887470	54.2637	CHCHD2
6	32790976	33060260	62.0213	CHCHD3
6	91462172	91473546	6.47096	CHCHD4
2	129129700	129134134	12.0822	CHCHD5
6	89383146	89595652	5.14836	CHCHD6
4	3938888	3951046	22.0851	CHCHD7
17	15704967	15772610	17.9737	CHD1
3	97560742	97610203	8.52506	CHD1L
7	73426638	73541830	40.6861	CHD2
11	69343273	69369406	63.2643	CHD3
6	125095981	125130591	78.1323	CHD4
4	152338651	152390194	2.43883	CHD5
2	160946978	161109075	11.4045	CHD6
4	8690406	8867659	5.34477	CHD7
14	52198151	52257780	19.7037	CHD8
8	90828352	91054516	15.184000000000001	CHD9
14	30009023	30040527	0.0221032	CHDH
9	36708482	36727065	3.15653	CHEK1
5	110839979	110874145	22.2353	CHEK2
8	72460489	72475226	4.84009	CHERP
5	110135842	110171972	23.7878	CHFR
12	102554969	102565028	0.0	CHGA
2	132781278	132795079	0.056623	CHGB
3	106113229	106132120	0.0211892	CHIA1
X	103356476	103396092	0.0	CHIC1
5	74997988	75044774	17.5146	CHIC2
7	141493136	141539857	9.92845	CHID1
1	134182176	134190181	0.0	CHIL1
3	106147554	106167564	0.0	CHIL3
3	106201490	106219507	0.0	CHIL4
3	106387384	106406182	0.0	CHIL6
1	134111242	134151540	0.0	CHIT1
19	3851773	3894369	3.11193	CHKA
15	89426360	89429908	18.9526	CHKB
6	103510586	103750211	0.0231723	CHL1
X	113040593	113185517	12.1841	CHM
1	175682237	175692901	4.1016	CHML
8	123204264	123212763	37.3011	CHMP1A
18	67205366	67207889	37.0299	CHMP1B
7	13032010	13034807	143.341	CHMP2A
16	65539128	65562726	36.4952	CHMP2B
6	71543797	71582609	38.2474	CHMP3
2	154651705	154694785	137.509	CHMP4B
3	10366907	10428856	0.0	CHMP4C
4	40948407	40965303	72.6943	CHMP5
11	119913441	119919548	28.2136	CHMP6
14	69717000	69732541	15.9638	CHMP7
2	73610660	73775346	0.103876	CHN1
2	73596526	73616012	0.0	CHN1OS3
6	54039554	54301810	60.1938	CHN2
16	78930948	78951733	0.0	CHODL
9	18292125	18317442	39.0051	CHORDC1
2	119547697	119587027	37.0198	CHP1
7	122219496	122222824	0.0	CHP2
1	75474569	75479307	0.139287	CHPF
5	24586741	24594556	13.4689	CHPF2
10	88452745	88504073	2.89403	CHPT1
15	73090392	73097554	29.7823	CHRAC1
16	20733127	20742384	0.0	CHRD
X	143285674	143394262	0.0	CHRDL1
7	100006172	100034728	0.0	CHRDL2
19	8663789	8683587	0.0	CHRM1
6	36388084	36528414	0.0	CHRM2
13	9875486	10360847	0.00969982	CHRM3
2	91927249	91928688	0.514004	CHRM4
2	112479171	112480769	0.0	CHRM5
2	73563215	73580338	0.203843	CHRNA1
7	102111266	102116828	0.0	CHRNA10
14	66135039	66152948	0.6764859999999999	CHRNA2
9	55010111	55026562	0.0	CHRNA3
2	181018380	181043546	0.0	CHRNA4
9	54980880	55007779	0.0452113	CHRNA5
8	27403212	27413944	0.0	CHRNA6
7	63098692	63212569	0.0	CHRNA7
5	65934921	65977326	0.0157527	CHRNA9
11	69784036	69795943	0.8473879999999999	CHRNB1
3	89746195	89764632	0.358653	CHRNB2
8	27368711	27399730	0.0	CHRNB3
9	55028154	55048779	0.00877905	CHRNB4
1	87190607	87200070	0.0	CHRND
11	70614883	70619216	0.08085389999999999	CHRNE
1	87204657	87212694	0.197717	CHRNG
2	92599707	92615250	1.2129	CHST1
1	38863867	38898161	0.0	CHST10
10	82985498	83195900	31.584	CHST11
5	140505550	140525724	18.9653	CHST12
6	90308349	90325185	0.0582387	CHST13
2	118926496	118928585	2.78877	CHST14
7	132235780	132317228	58.7695	CHST15
9	95399292	95406722	0.0	CHST2
10	60181532	60219260	0.0	CHST3
8	110029153	110039740	0.0	CHST4
8	111889136	111910447	0.0326963	CHST5
X	20059560	20097521	0.014283700000000002	CHST7
7	34674468	34812711	5.59325	CHST8
18	15451924	15760157	0.0	CHST9
7	66109515	66173798	21.6351	CHSY1
18	59175401	59535999	0.0863607	CHSY3
17	25718926	25727419	3.45591	CHTF18
8	106883863	106893601	51.1385	CHTF8
3	90498956	90509498	27.5475	CHTOP
19	44073335	44107480	17.7032	CHUK
12	76765538	76783180	47.7161	CHURC1
2	127240938	127247816	15.2503	CIAO1
8	94819804	94838358	4.183330000000001	CIAPIN1
3	95878503	95882251	1.35491	CIART
7	80227147	80232813	27.149	CIB1
9	54544794	54560218	0.147063	CIB2
8	72204335	72212996	0.288365	CIB3
5	30485583	30545836	0.0	CIB4
7	25267704	25294159	8.878110000000001	CIC
18	67343604	67367785	0.0	CIDEA
14	55754050	55758458	5.0484	CIDEB
6	113424634	113435760	0.0	CIDEC
16	10480059	10528418	0.261153	CIITA
9	65265180	65280605	0.0	CILP
8	69880369	69887687	0.0378406	CILP2
12	110872610	110889145	8.12647	CINP
12	86947043	86965362	18.9755	CIPC
2	73283105	73312701	13.5265	CIR1
10	80165985	80172786	48.8958	CIRBP
10	71330480	71344954	11.0693	CISD1
3	135406412	135423925	21.0056	CISD2
11	97685826	97688621	10.4351	CISD3
9	107296026	107302784	16.6004	CISH
5	115845278	116008947	3.14542	CIT
X	102247381	102252181	10.6197	CITED1
10	17723218	17725674	98.5959	CITED2
4	120666572	120667820	43.933	CITED4
2	32352327	32380970	23.4863	CIZ1
8	22168160	22185819	10.7141	CKAP2
2	129268210	129297212	33.6925	CKAP2L
10	84526305	84534062	1.9155099999999998	CKAP4
2	91526762	91620664	44.5079	CKAP5
12	111669361	111672338	4.20779	CKB
8	104250861	104264938	9.14443	CKLF
7	19404776	19422841	0.0229951	CKM
2	121357714	121363737	0.10120599999999999	CKMT1
13	91853387	91876885	0.0	CKMT2
3	89415472	89418383	39.0745	CKS1B
8	85151924	85173622	0.0130076	CKS1BRT
13	51645232	51650660	94.8274	CKS2
1	118389058	118612678	7.6775199999999995	CLASP1
9	113741473	113919682	15.1939	CLASP2
7	19581035	19604486	14.6177	CLASRP
3	145003817	145032776	0.0	CLCA1
3	145070263	145099443	0.0	CLCA2
3	108653913	108678840	21.1813	CLCC1
19	4214238	4223490	0.0	CLCF1
6	42286685	42315756	0.0172542	CLCN1
16	20702964	20717746	0.46096800000000004	CLCN2
8	60910389	60983300	8.29369	CLCN3
X	7153810	7319358	4.40227	CLCN5
4	148004259	148038821	4.4740400000000005	CLCN6
17	25133391	25162104	10.979000000000001	CLCN7
4	141384610	141398724	0.0	CLCNKA
4	141404353	141416014	0.0	CLCNKB
16	26356642	26371841	0.0	CLDN1
14	118787908	118875489	0.0	CLDN10
3	31149920	31164324	0.0	CLDN11
5	5489537	5514958	2.53668	CLDN12
5	134914249	134915526	0.0	CLDN13
16	93919031	94008837	0.0	CLDN14
5	136966616	136975858	0.0857446	CLDN15
16	26463135	26482765	0.0	CLDN16
16	88505807	88506978	0.0	CLDN17
9	99689461	99717267	0.0	CLDN18
4	119255414	119262438	0.0	CLDN19
X	139800828	139811386	0.0	CLDN2
17	3532554	3533213	0.336791	CLDN20
8	47824482	47825476	0.06855839999999999	CLDN22
8	35824712	35826559	0.0	CLDN23
8	47822143	47822805	0.0	CLDN24
5	134986214	134987472	0.0	CLDN3
5	134945119	134946934	0.0	CLDN4
16	18776847	18778262	0.0	CLDN5
17	23679249	23682446	0.0	CLDN6
11	69964779	69967885	0.1724	CLDN7
16	88560828	88563183	0.0	CLDN8
17	23682584	23684026	0.0	CLDN9
7	43440782	43443334	0.0	CLDND2
11	70156197	70170834	3.12672	CLEC10A
7	44302687	44306902	1.59979	CLEC11A
6	129342691	129365303	0.874128	CLEC12A
6	129375515	129385874	0.0	CLEC12B
12	58264720	58269290	0.0	CLEC14A
16	10545339	10744878	6.59329	CLEC16A
8	111058920	111092426	0.0	CLEC18A
6	129424772	129452000	0.272313	CLEC1A
6	129397297	129409335	0.113777	CLEC1B
6	129180615	129186534	404.88	CLEC2D
6	129091998	129100913	0.0275505	CLEC2E
6	129014112	129020527	0.056455099999999994	CLEC2F
6	128934381	128984707	0.013638399999999998	CLEC2G
6	128662385	128677374	0.0	CLEC2H
6	128887588	128898167	0.417754	CLEC2I
6	38663067	38680865	0.0227638	CLEC2L
8	114418086	114425846	0.0	CLEC3A
9	123150946	123157432	0.0	CLEC3B
6	122921848	122934619	0.186143	CLEC4A1
6	123106428	123143999	0.182522	CLEC4A2
6	122952515	122969875	0.276992	CLEC4A3
6	122990367	123024105	0.0	CLEC4A4
6	123049962	123071555	0.0	CLEC4B1
6	123172893	123204671	0.0	CLEC4B2
6	123262111	123275265	1.8872	CLEC4D
6	123281789	123289870	1.32055	CLEC4E
6	83644542	83656187	0.0	CLEC4F
8	3707064	3720651	0.187332	CLEC4G
6	123229843	123247021	3.3862099999999997	CLEC4N
6	40574894	40585821	0.9697290000000001	CLEC5A
6	129461591	129472779	0.480782	CLEC7A
6	129408862	129424763	0.0	CLEC9A
8	83389867	83428552	0.0	CLGN
11	29547950	29578367	2.67137	CLHC1
17	35049966	35058749	433.60699999999997	CLIC1
2	25456838	25458776	0.532349	CLIC3
4	135213969	135272814	17.9393	CLIC4
17	44188584	44280172	0.0359028	CLIC5
16	92485736	92541243	0.0	CLIC6
11	45851964	45910625	126.132	CLINT1
5	123577795	123684618	12.0181	CLIP1
5	134489383	134552434	13.9685	CLIP2
7	30291728	30308367	0.065066	CLIP3
17	71768473	71864273	0.0	CLIP4
1	58410189	58424066	131.616	CLK1
3	89164795	89176921	29.6046	CLK2
9	57750624	57765860	39.861999999999995	CLK3
11	51261730	51281766	26.2114	CLK4
12	104763117	104865076	0.155401	CLMN
9	40685962	40785319	0.315896	CLMP
7	126571207	126585817	16.0852	CLN3
14	103070216	103077628	29.4864	CLN5
9	62838785	62852006	8.29368	CLN6
8	14881335	14901720	2.0276	CLN8
